Sample in Buffer,Sample in Window,TRIGGER,top_i/aiscale/cfg_tdata[298:0],top_i/aiscale/cfg_tdata_1[672:300],top_i/aiscale/cfg_tready,top_i/aiscale/cfg_tvalid,top_i/aiscale/dout0_tdata[68:0],top_i/aiscale/dout0_tready,top_i/aiscale/dout0_tvalid,top_i/aiscale/dout1_tdata[63:32],top_i/aiscale/dout1_tready,top_i/aiscale/dout1_tvalid,top_i/aiscale/dout2_tdata_1[2:1],top_i/aiscale/dout2_tdata[63:32],top_i/aiscale/dout2_tready,top_i/aiscale/dout2_tvalid,top_i/aiscale/dout3_tdata_1[15:1],top_i/aiscale/dout3_tdata[63:32],top_i/aiscale/dout3_tready,top_i/aiscale/dout3_tvalid,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/handshake,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/local_rst,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data_1[154:91],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data_2[196:188],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data_3[289:258],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.data[387:291],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.dready,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/others_dout\\.dvalid,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/state_reg[2:0],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.data_1[47:0],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.data_2[73:73],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.data[78:78],top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.dready,top_i/aiscale/inst/aiscale_i/aiscale_cfg_i/wm_dout\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_1[30:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_2[62:32],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_3[94:64],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data_4[126:96],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/bias_wm\\.data[129:128],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/brick_combiner_if_s\\.data[63:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/brick_combiner_if_s\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/brick_combiner_if_s\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.data_1[63:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.data[69:67],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_im\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_wm\\.data[65:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_wm\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzi_wm\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_im\\.data[69:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_im\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_im\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_wm\\.data[65:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_wm\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/nzv_wm\\.dvalid,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/rcu_top_if_s\\.data[16:0],top_i/aiscale/inst/aiscale_i/rcu_wrap_i/rcu_top_if_s\\.dready,top_i/aiscale/inst/aiscale_i/rcu_wrap_i/rcu_top_if_s\\.dvalid,top_i/aiscale/is_din_tdata[64:0],top_i/aiscale/is_din_tready,top_i/aiscale/is_din_tvalid,top_i/aiscale/nnzv_os_tdata[15:0],top_i/aiscale/nnzv_os_tready,top_i/aiscale/nnzv_os_tvalid
0,0,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,0,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,000ce300,0003c600,0001f400,00083e00,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,0083e01f403c60ce3,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,0020902910a6f0823,1,1,0006,0,0
1,1,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,0,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00082300,000a6f00,00029100,00020900,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,0020902910a6f0823,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,103240490053203de,1,1,0006,0,0
2,2,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,0,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,0003de00,00053200,00049000,00032400,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,003240490053203de,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00000000000000000,1,0,0006,0,0
3,3,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00082300,000a6f00,00029100,00020900,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,0020902910a6f0823,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00000000000000000,1,0,0006,0,0
4,4,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00082300,000a6f00,00029100,00020900,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,0020902910a6f0823,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,00c0030142e80c552,1,1,0006,0,0
5,5,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00c55200,002e8000,00301400,000c0000,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,00c0030142e80c552,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,001010218069a0707,1,1,0006,0,0
6,6,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00070700,00069a00,00021800,00010100,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,001010218069a0707,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,0033c02db09480162,1,1,0006,0,0
7,7,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00016200,00094800,0002db00,00033c00,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,0033c02db09480162,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,0078a0915077b020c,1,1,0006,0,0
8,8,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,00020c00,00077b00,00091500,00078a00,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,0078a0915077b020c,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,008f1010307c90b03,1,1,0006,0,0
9,9,0,0888c40400402007c03e0040000100800334003184a8002d84a80013e4a8000400400019a00,00000000000080220183800001840002018400000000000002030fffe0000000220000000441828000018300000010,0,1,0f0000000000000000,1,0,30800040,1,0,2,00000000,1,0,0040,00000000,1,0,0,0,3050000030600000,020,00000000,060e000006100008061000000,0,1,5,000000000000,1,1,0,0,000b0300,0007c900,00010300,0008f100,1,0000000000000000,0,0,ad9f3307fa8fb1bc,0,1,0,008f1010307c90b03,1,0,0400000000027f0329,1,0,00000000000000000,1,0,00000,1,0,100000000004c0288,1,1,0006,0,0
